imenica	frekvencija	potvrđen_genitiv	padež	predlog	napomena
mučeništvo	145	mučeništva	I jd	mučeništvom	
pretresanje	145	pretresanja	I jd	pretresanjem	
obilaženje	144	obilaženja	D/L jd	obilaženju	
osiguravanje	144	osiguravanja	D/L jd	osiguravanju	
osiguravanje	144	osiguravanja	I jd	osiguravanjem	
pročišćenje	144	pročišćenja	I jd	pročišćenjem	
zaljubljivanje	144	zaljubljivanja	I jd	zaljubljivanjem	
upošljavanje	143	upošljavanja	I jd	upošljavanjem	
kritikovanje	142	kritikovanja	D/L jd	kritikovanju	
kritikovanje	142	kritikovanja	I jd	kritikovanjem	
otpočinjanje	142	otpočinjanja	D/L jd	otpočinjanju	
otpočinjanje	142	otpočinjanja	I jd	otpočinjanjem	
treperenje	142	treperenja	D/L jd	treperenju	
uručivanje	142	uručivanja	I jd	uručivanjem	
zatiranje	142	zatiranja	I jd	zatiranjem	
foliranje	141	foliranja	D/L jd	foliranju	
foliranje	141	foliranja	I jd	foliranjem	
odvodnjavanje	141	odvodnjavanja	D/L jd	odvodnjavanju	
odvodnjavanje	141	odvodnjavanja	I jd	odvodnjavanjem	
vinogorje	141	vinogorja	I jd	vinogorjem	
animiranje	140	animiranja	I jd	animiranjem	
navikavanje	140	navikavanja	I jd	navikavanjem	
odigravanje	140	odigravanja	I jd	odigravanjem	
pseto	140	pseta	D/L jd	psetu	
svanuće	138	svanuća	I jd	svanućem	
čistilište	138	čistilišta	I jd	čistilištem	
dekodiranje	137	dekodiranja	I jd	dekodiranjem	
doterivanje	137	doterivanja	I jd	doterivanjem	
nakupljanje	137	nakupljanja	D/L jd	nakupljanju	
nakupljanje	137	nakupljanja	I jd	nakupljanjem	
otapanje	137	otapanja	D/L jd	otapanju	
razvlačenje	137	razvlačenja	I jd	razvlačenjem	
betoniranje	136	betoniranja	D/L jd	betoniranju	
betoniranje	136	betoniranja	I jd	betoniranjem	
osiromašenje	136	osiromašenja	D/L jd	osiromašenju	
osiromašenje	136	osiromašenja	I jd	osiromašenjem	
požrtvovanje	136	požrtvovanja	I jd	požrtvovanjem	
redukovanje	136	redukovanja	D/L jd	redukovanju	
redukovanje	136	redukovanja	I jd	redukovanjem	
osamostaljivanje	135	osamostaljivanja	I jd	osamostaljivanjem	
ranjavanje	135	ranjavanja	I jd	ranjavanjem	
nerviranje	134	nerviranja	I jd	nerviranjem	
obračunavanje	134	obračunavanja	D/L jd	obračunavanju	
obračunavanje	134	obračunavanja	I jd	obračunavanjem	
trljanje	134	trljanja	D/L jd	trljanju	
iscrpljivanje	133	iscrpljivanja	D/L jd	iscrpljivanju	
iscrpljivanje	133	iscrpljivanja	I jd	iscrpljivanjem	
iskrcavanje	133	iskrcavanja	I jd	iskrcavanjem	
isušivanje	133	isušivanja	D/L jd	isušivanju	
isušivanje	133	isušivanja	I jd	isušivanjem	
ograđivanje	133	ograđivanja	D/L jd	ograđivanju	
ograđivanje	133	ograđivanja	I jd	ograđivanjem	
reprogramiranje	133	reprogramiranja	D/L jd	reprogramiranju	
reprogramiranje	133	reprogramiranja	I jd	reprogramiranjem	
češljanje	133	češljanja	I jd	češljanjem	
idolopoklonstvo	132	idolopoklonstva	D/L jd	idolopoklonstvu	
idolopoklonstvo	132	idolopoklonstva	I jd	idolopoklonstvom	
naoružavanje	132	naoružavanja	D/L jd	naoružavanju	
naoružavanje	132	naoružavanja	I jd	naoružavanjem	
saučesništvo	132	saučesništva	D/L jd	saučesništvu	
saučesništvo	132	saučesništva	I jd	saučesništvom	
sumiranje	132	sumiranja	I jd	sumiranjem	
usporenje	132	usporenja	D/L jd	usporenju	
usporenje	132	usporenja	I jd	usporenjem	
hraniteljstvo	131	hraniteljstva	D/L jd	hraniteljstvu	
hraniteljstvo	131	hraniteljstva	I jd	hraniteljstvom	
sopstvo	130	sopstva	I jd	sopstvom	
katoličanstvo	129	katoličanstva	D/L jd	katoličanstvu	
katoličanstvo	129	katoličanstva	I jd	katoličanstvom	
ubiranje	129	ubiranja	I jd	ubiranjem	
zadebljanje	129	zadebljanja	D/L jd	zadebljanju	
komandovanje	128	komandovanja	I jd	komandovanjem	
korigovanje	128	korigovanja	I jd	korigovanjem	
ojačanje	128	ojačanja	D/L jd	ojačanju	
ojačanje	128	ojačanja	I jd	ojačanjem	
startovanje	128	startovanja	I jd	startovanjem	
šivenje	128	šivenja	I jd	šivenjem	
divljaštvo	127	divljaštva	D/L jd	divljaštvu	
dobacivanje	127	dobacivanja	D/L jd	dobacivanju	
dobacivanje	127	dobacivanja	I jd	dobacivanjem	
uparivanje	127	uparivanja	D/L jd	uparivanju	
uparivanje	127	uparivanja	I jd	uparivanjem	
rasipništvo	126	rasipništva	D/L jd	rasipništvu	
rasipništvo	126	rasipništva	I jd	rasipništvom	
zavaravanje	126	zavaravanja	I jd	zavaravanjem	
suparništvo	124	suparništva	D/L jd	suparništvu	
suparništvo	124	suparništva	I jd	suparništvom	
ujednačavanje	124	ujednačavanja	D/L jd	ujednačavanju	
ujednačavanje	124	ujednačavanja	I jd	ujednačavanjem	
eldorado	123	eldorada	I jd	eldoradom	
izuzimanje	123	izuzimanja	I jd	izuzimanjem	
podvlačenje	123	podvlačenja	I jd	podvlačenjem	
preoblikovanje	123	preoblikovanja	D/L jd	preoblikovanju	
provlačenje	123	provlačenja	I jd	provlačenjem	
torzo	123	torza	I jd	torzom	
vašarište	123	vašarišta	I jd	vašarištem	
zaptivanje	123	zaptivanja	D/L jd	zaptivanju	
zaptivanje	123	zaptivanja	I jd	zaptivanjem	
blaćenje	122	blaćenja	D/L jd	blaćenju	
blaćenje	122	blaćenja	I jd	blaćenjem	
izostajanje	122	izostajanja	I jd	izostajanjem	
kadriranje	122	kadriranja	D/L jd	kadriranju	
kadriranje	122	kadriranja	I jd	kadriranjem	
radništvo	122	radništva	I jd	radništvom	
talasanje	122	talasanja	I jd	talasanjem	
ucenjivanje	122	ucenjivanja	I jd	ucenjivanjem	
svetogrđe	121	svetogrđa	D/L jd	svetogrđu	
taloženje	121	taloženja	D/L jd	taloženju	
viđanje	121	viđanja	I jd	viđanjem	
preslikavanje	120	preslikavanja	I jd	preslikavanjem	
presretanje	120	presretanja	I jd	presretanjem	
selište	120	selišta	I jd	selištem	
sučelje	120	sučelja	I jd	sučeljem	
ustoličenje	120	ustoličenja	I jd	ustoličenjem	
zapisivanje	120	zapisivanja	I jd	zapisivanjem	
goveče	119	govečeta	D/L jd	govečetu	proširena osnova
optuživanje	119	optuživanja	I jd	optuživanjem	
salto	119	salta	D/L jd	saltu	
salto	119	salta	I jd	saltom	
zakucavanje	119	zakucavanja	D/L jd	zakucavanju	
zakucavanje	119	zakucavanja	I jd	zakucavanjem	
obuzdavanje	118	obuzdavanja	I jd	obuzdavanjem	
habanje	117	habanja	D/L jd	habanju	
habanje	117	habanja	I jd	habanjem	
iščitavanje	117	iščitavanja	I jd	iščitavanjem	
stampedo	117	stampeda	I jd	stampedom	
mezimče	116	mezimčeta	D/L jd	mezimčetu	proširena osnova
mezimče	116	mezimčeta	I jd	mezimčetom	proširena osnova
zaobilaženje	116	zaobilaženja	D/L jd	zaobilaženju	
posećivanje	115	posećivanja	I jd	posećivanjem	
zrnevlje	115	zrnevlja	D/L jd	zrnevlju	
zrnevlje	115	zrnevlja	I jd	zrnevljem	
poveravanje	114	poveravanja	I jd	poveravanjem	
tolerisanje	114	tolerisanja	D/L jd	tolerisanju	
tolerisanje	114	tolerisanja	I jd	tolerisanjem	
zataškavanje	114	zataškavanja	I jd	zataškavanjem	
zevanje	114	zevanja	D/L jd	zevanju	
bivstvovanje	113	bivstvovanja	I jd	bivstvovanjem	
muljanje	113	muljanja	D/L jd	muljanju	
muljanje	113	muljanja	I jd	muljanjem	
neutrino	113	neutrina	D/L jd	neutrinu	
neutrino	113	neutrina	I jd	neutrinom	
postanje	113	postanja	I jd	postanjem	
prosjačenje	113	prosjačenja	D/L jd	prosjačenju	
prosjačenje	113	prosjačenja	I jd	prosjačenjem	
stovarište	113	stovarišta	I jd	stovarištem	
odmaranje	112	odmaranja	I jd	odmaranjem	
ustanovljenje	112	ustanovljenja	D/L jd	ustanovljenju	
isprobavanje	111	isprobavanja	D/L jd	isprobavanju	
isprobavanje	111	isprobavanja	I jd	isprobavanjem	
traćenje	111	traćenja	I jd	traćenjem	
uzvišenje	111	uzvišenja	I jd	uzvišenjem	
perce	110	perca	D/L jd	percu	
perce	110	perca	I jd	percem	
rižoto	110	rižota	D/L jd	rižotu	
rižoto	110	rižota	I jd	rižotom	
štucanje	110	štucanja	D/L jd	štucanju	
štucanje	110	štucanja	I jd	štucanjem	
bankrotstvo	109	bankrotstva	D/L jd	bankrotstvu	
bankrotstvo	109	bankrotstva	I jd	bankrotstvom	
obolenje	108	obolenja	D/L jd	obolenju	
saborovanje	108	saborovanja	I jd	saborovanjem	
tapšanje	108	tapšanja	D/L jd	tapšanju	
lovstvo	107	lovstva	I jd	lovstvom	
nenasilje	107	nenasilja	I jd	nenasiljem	
puzanje	107	puzanja	I jd	puzanjem	
srozavanje	107	srozavanja	I jd	srozavanjem	
govedo	106	goveda	I jd	govedom	
neshvatanje	106	neshvatanja	I jd	neshvatanjem	
porobljavanje	106	porobljavanja	D/L jd	porobljavanju	
porobljavanje	106	porobljavanja	I jd	porobljavanjem	
uginuće	106	uginuća	D/L jd	uginuću	
uginuće	106	uginuća	I jd	uginućem	
uterivanje	106	uterivanja	I jd	uterivanjem	
prisiljavanje	105	prisiljavanja	D/L jd	prisiljavanju	
prisiljavanje	105	prisiljavanja	I jd	prisiljavanjem	
revidiranje	105	revidiranja	I jd	revidiranjem	
zastupništvo	105	zastupništva	I jd	zastupništvom	
profilisanje	104	profilisanja	D/L jd	profilisanju	
profilisanje	104	profilisanja	I jd	profilisanjem	
punoletstvo	104	punoletstva	D/L jd	punoletstvu	
punoletstvo	104	punoletstva	I jd	punoletstvom	
sporazumevanje	104	sporazumevanja	D/L jd	sporazumevanju	
sporazumevanje	104	sporazumevanja	I jd	sporazumevanjem	
struganje	104	struganja	I jd	struganjem	
zastarevanje	104	zastarevanja	D/L jd	zastarevanju	
zastarevanje	104	zastarevanja	I jd	zastarevanjem	
izaslanstvo	103	izaslanstva	D/L jd	izaslanstvu	
izaslanstvo	103	izaslanstva	I jd	izaslanstvom	
naelektrisanje	103	naelektrisanja	D/L jd	naelektrisanju	
naelektrisanje	103	naelektrisanja	I jd	naelektrisanjem	
naginjanje	103	naginjanja	D/L jd	naginjanju	
naginjanje	103	naginjanja	I jd	naginjanjem	
otkopavanje	103	otkopavanja	I jd	otkopavanjem	
preopterećenje	103	preopterećenja	D/L jd	preopterećenju	
preopterećenje	103	preopterećenja	I jd	preopterećenjem	
pretakanje	103	pretakanja	D/L jd	pretakanju	
smilje	103	smilja	I jd	smiljem	
uhlebljenje	103	uhlebljenja	D/L jd	uhlebljenju	
uhlebljenje	103	uhlebljenja	I jd	uhlebljenjem	
izrugivanje	102	izrugivanja	I jd	izrugivanjem	
praskozorje	102	praskozorja	D/L jd	praskozorju	
praskozorje	102	praskozorja	I jd	praskozorjem	
zahvatanje	102	zahvatanja	D/L jd	zahvatanju	
zahvatanje	102	zahvatanja	I jd	zahvatanjem	
zamaranje	102	zamaranja	D/L jd	zamaranju	
zamaranje	102	zamaranja	I jd	zamaranjem	
začepljenje	102	začepljenja	D/L jd	začepljenju	
začepljenje	102	začepljenja	I jd	začepljenjem	
raspravljanje	101	raspravljanja	I jd	raspravljanjem	
žrebanje	101	žrebanja	D/L jd	žrebanju	
iskakanje	100	iskakanja	D/L jd	iskakanju	
kulinarstvo	99	kulinarstva	I jd	kulinarstvom	
posluživanje	99	posluživanja	D/L jd	posluživanju	
posluživanje	99	posluživanja	I jd	posluživanjem	
sneško	99	sneška	D/L jd	snešku	
sneško	99	sneška	I jd	sneškom	
bezvlašće	98	bezvlašća	I jd	bezvlašćem	
iščašenje	98	iščašenja	D/L jd	iščašenju	
iščašenje	98	iščašenja	I jd	iščašenjem	
mazivo	98	maziva	D/L jd	mazivu	
ravnanje	98	ravnanja	I jd	ravnanjem	
jajce	97	jajca	I jd	jajcem	
loženje	97	loženja	D/L jd	loženju	
loženje	97	loženja	I jd	loženjem	
prostiranje	97	prostiranja	I jd	prostiranjem	
dvojstvo	96	dvojstva	I jd	dvojstvom	
pobijanje	96	pobijanja	I jd	pobijanjem	
posipanje	96	posipanja	I jd	posipanjem	
prosipanje	96	prosipanja	D/L jd	prosipanju	
prosipanje	96	prosipanja	I jd	prosipanjem	
pumpanje	96	pumpanja	D/L jd	pumpanju	
rende	96	rendeta	D/L jd	rendetu	proširena osnova
rende	96	rendeta	I jd	rendetom	proširena osnova
zapomaganje	96	zapomaganja	D/L jd	zapomaganju	
zapomaganje	96	zapomaganja	I jd	zapomaganjem	
podrigivanje	95	podrigivanja	I jd	podrigivanjem	
nazadovanje	94	nazadovanja	I jd	nazadovanjem	
pokoravanje	94	pokoravanja	I jd	pokoravanjem	
poziranje	94	poziranja	D/L jd	poziranju	
pritvaranje	94	pritvaranja	D/L jd	pritvaranju	
pritvaranje	94	pritvaranja	I jd	pritvaranjem	
strahopoštovanje	94	strahopoštovanja	D/L jd	strahopoštovanju	
upijanje	94	upijanja	D/L jd	upijanju	
upijanje	94	upijanja	I jd	upijanjem	
doniranje	93	doniranja	D/L jd	doniranju	
doniranje	93	doniranja	I jd	doniranjem	
dozivanje	93	dozivanja	D/L jd	dozivanju	
dozivanje	93	dozivanja	I jd	dozivanjem	
isecanje	93	isecanja	D/L jd	isecanju	
isecanje	93	isecanja	I jd	isecanjem	
obolevanje	93	obolevanja	I jd	obolevanjem	
usitnjavanje	93	usitnjavanja	I jd	usitnjavanjem	
prelamanje	92	prelamanja	I jd	prelamanjem	
rotiranje	92	rotiranja	I jd	rotiranjem	
spremište	92	spremišta	I jd	spremištem	
zaklinjanje	92	zaklinjanja	I jd	zaklinjanjem	
izmirivanje	91	izmirivanja	I jd	izmirivanjem	
posrnuće	91	posrnuća	I jd	posrnućem	
putešestvije	91	putešestvija	D/L jd	putešestviju	
putešestvije	91	putešestvija	I jd	putešestvijem	
češanje	91	češanja	D/L jd	češanju	
češanje	91	češanja	I jd	češanjem	
dopuštanje	90	dopuštanja	I jd	dopuštanjem	
izgnanstvo	90	izgnanstva	I jd	izgnanstvom	
muziciranje	90	muziciranja	I jd	muziciranjem	
podilaženje	90	podilaženja	I jd	podilaženjem	
zadiranje	90	zadiranja	D/L jd	zadiranju	
zadiranje	90	zadiranja	I jd	zadiranjem	
intermeco	89	intermeca	I jd	intermecem	
nevaspitanje	89	nevaspitanja	D/L jd	nevaspitanju	
nevaspitanje	89	nevaspitanja	I jd	nevaspitanjem	
pozdravljanje	89	pozdravljanja	D/L jd	pozdravljanju	
pozdravljanje	89	pozdravljanja	I jd	pozdravljanjem	
sačinjavanje	89	sačinjavanja	I jd	sačinjavanjem	
uvrtanje	89	uvrtanja	D/L jd	uvrtanju	
pročišćavanje	88	pročišćavanja	D/L jd	pročišćavanju	
pročišćavanje	88	pročišćavanja	I jd	pročišćavanjem	
zaglupljivanje	88	zaglupljivanja	D/L jd	zaglupljivanju	
zaglupljivanje	88	zaglupljivanja	I jd	zaglupljivanjem	
zagušenje	88	zagušenja	D/L jd	zagušenju	
zagušenje	88	zagušenja	I jd	zagušenjem	
šamaranje	88	šamaranja	D/L jd	šamaranju	
brodarstvo	87	brodarstva	I jd	brodarstvom	
iscrtavanje	87	iscrtavanja	I jd	iscrtavanjem	
markiranje	87	markiranja	D/L jd	markiranju	
markiranje	87	markiranja	I jd	markiranjem	
popisivanje	87	popisivanja	I jd	popisivanjem	
razilaženje	87	razilaženja	I jd	razilaženjem	
ugnjetavanje	87	ugnjetavanja	I jd	ugnjetavanjem	
izolovanje	86	izolovanja	D/L jd	izolovanju	
izolovanje	86	izolovanja	I jd	izolovanjem	
kalemljenje	86	kalemljenja	D/L jd	kalemljenju	
nabijanje	86	nabijanja	D/L jd	nabijanju	
tepanje	86	tepanja	D/L jd	tepanju	
zarobljavanje	86	zarobljavanja	I jd	zarobljavanjem	
esperanto	85	esperanta	I jd	esperantom	
krivotvorenje	85	krivotvorenja	D/L jd	krivotvorenju	
krivotvorenje	85	krivotvorenja	I jd	krivotvorenjem	
potonuće	85	potonuća	I jd	potonućem	
praznoverje	85	praznoverja	D/L jd	praznoverju	
ustaštvo	85	ustaštva	D/L jd	ustaštvu	
ustaštvo	85	ustaštva	I jd	ustaštvom	
zabrežje	85	zabrežja	I jd	zabrežjem	
đubrište	85	đubrišta	I jd	đubrištem	
dešifrovanje	84	dešifrovanja	I jd	dešifrovanjem	
urlanje	84	urlanja	D/L jd	urlanju	
jajašce	83	jajašca	D/L jd	jajašcu	
jajašce	83	jajašca	I jd	jajašcem	
krivljenje	83	krivljenja	I jd	krivljenjem	
manevrisanje	83	manevrisanja	I jd	manevrisanjem	
podsmevanje	83	podsmevanja	I jd	podsmevanjem	
recitovanje	83	recitovanja	I jd	recitovanjem	
stiskanje	83	stiskanja	D/L jd	stiskanju	
stiskanje	83	stiskanja	I jd	stiskanjem	
tihovanje	83	tihovanja	I jd	tihovanjem	
šaputanje	83	šaputanja	D/L jd	šaputanju	
paradiranje	82	paradiranja	D/L jd	paradiranju	
paradiranje	82	paradiranja	I jd	paradiranjem	
preuveličavanje	82	preuveličavanja	D/L jd	preuveličavanju	
roždestvo	82	roždestva	D/L jd	roždestvu	
roždestvo	82	roždestva	I jd	roždestvom	
uravnoteženje	82	uravnoteženja	D/L jd	uravnoteženju	
uravnoteženje	82	uravnoteženja	I jd	uravnoteženjem	
međunožje	81	međunožja	I jd	međunožjem	
ciljanje	80	ciljanja	I jd	ciljanjem	
povlađivanje	80	povlađivanja	D/L jd	povlađivanju	
povlađivanje	80	povlađivanja	I jd	povlađivanjem	
svetlucanje	80	svetlucanja	I jd	svetlucanjem	
uvijanje	80	uvijanja	I jd	uvijanjem	
krvavljenje	79	krvavljenja	D/L jd	krvavljenju	
krvavljenje	79	krvavljenja	I jd	krvavljenjem	
razmimoilaženje	79	razmimoilaženja	D/L jd	razmimoilaženju	
razmimoilaženje	79	razmimoilaženja	I jd	razmimoilaženjem	
ukinuće	79	ukinuća	I jd	ukinućem	
šištanje	79	šištanja	D/L jd	šištanju	
ceđenje	78	ceđenja	I jd	ceđenjem	
dospeće	78	dospeća	I jd	dospećem	
konsultovanje	78	konsultovanja	D/L jd	konsultovanju	
konsultovanje	78	konsultovanja	I jd	konsultovanjem	
memorisanje	78	memorisanja	D/L jd	memorisanju	
memorisanje	78	memorisanja	I jd	memorisanjem	
podgrevanje	78	podgrevanja	D/L jd	podgrevanju	
podgrevanje	78	podgrevanja	I jd	podgrevanjem	
prerastanje	78	prerastanja	I jd	prerastanjem	
antitelo	77	antitela	D/L jd	antitelu	
antitelo	77	antitela	I jd	antitelom	
ispupčenje	77	ispupčenja	D/L jd	ispupčenju	
masiranje	77	masiranja	I jd	masiranjem	
podudaranje	77	podudaranja	D/L jd	podudaranju	
podudaranje	77	podudaranja	I jd	podudaranjem	
kvačilo	76	kvačila	D/L jd	kvačilu	
naklapanje	76	naklapanja	D/L jd	naklapanju	
naklapanje	76	naklapanja	I jd	naklapanjem	
premlaćivanje	76	premlaćivanja	D/L jd	premlaćivanju	
premlaćivanje	76	premlaćivanja	I jd	premlaćivanjem	
pulsiranje	76	pulsiranja	D/L jd	pulsiranju	
pulsiranje	76	pulsiranja	I jd	pulsiranjem	
seljenje	76	seljenja	I jd	seljenjem	
srbovanje	76	srbovanja	D/L jd	srbovanju	
srbovanje	76	srbovanja	I jd	srbovanjem	
susretanje	76	susretanja	D/L jd	susretanju	
susretanje	76	susretanja	I jd	susretanjem	
uigravanje	76	uigravanja	I jd	uigravanjem	
gruvanje	75	gruvanja	D/L jd	gruvanju	
gruvanje	75	gruvanja	I jd	gruvanjem	
krckanje	75	krckanja	D/L jd	krckanju	
otopljenje	75	otopljenja	D/L jd	otopljenju	
otopljenje	75	otopljenja	I jd	otopljenjem	
ovčarstvo	75	ovčarstva	I jd	ovčarstvom	
previjanje	75	previjanja	I jd	previjanjem	
propovedanje	75	propovedanja	D/L jd	propovedanju	
propovedanje	75	propovedanja	I jd	propovedanjem	
prosuđivanje	75	prosuđivanja	I jd	prosuđivanjem	
zamenjivanje	75	zamenjivanja	I jd	zamenjivanjem	
nepce	74	nepca	I jd	nepcem	
podaništvo	74	podaništva	D/L jd	podaništvu	
podaništvo	74	podaništva	I jd	podaništvom	
predivo	74	prediva	D/L jd	predivu	
predivo	74	prediva	I jd	predivom	
prevlačenje	74	prevlačenja	I jd	prevlačenjem	
reketiranje	74	reketiranja	I jd	reketiranjem	
sanjanje	74	sanjanja	I jd	sanjanjem	
vučenje	74	vučenja	D/L jd	vučenju	
vučenje	74	vučenja	I jd	vučenjem	
otpisivanje	73	otpisivanja	I jd	otpisivanjem	
vreteno	73	vretena	D/L jd	vretenu	
izgladnjivanje	72	izgladnjivanja	D/L jd	izgladnjivanju	
nemešanje	72	nemešanja	I jd	nemešanjem	
rastavljanje	72	rastavljanja	I jd	rastavljanjem	
huškanje	71	huškanja	D/L jd	huškanju	
odgađanje	71	odgađanja	D/L jd	odgađanju	
odgađanje	71	odgađanja	I jd	odgađanjem	
uspavljivanje	71	uspavljivanja	D/L jd	uspavljivanju	
zrenje	71	zrenja	D/L jd	zrenju	
zrenje	71	zrenja	I jd	zrenjem	
crkvište	70	crkvišta	I jd	crkvištem	
golicanje	70	golicanja	D/L jd	golicanju	
nedonošenje	70	nedonošenja	D/L jd	nedonošenju	
nedonošenje	70	nedonošenja	I jd	nedonošenjem	
neusvajanje	70	neusvajanja	I jd	neusvajanjem	
postajanje	70	postajanja	I jd	postajanjem	
pučanstvo	70	pučanstva	I jd	pučanstvom	
nevinašce	69	nevinašca	D/L jd	nevinašcu	
nevinašce	69	nevinašca	I jd	nevinašcem	
opstajanje	69	opstajanja	I jd	opstajanjem	
sevanje	69	sevanja	D/L jd	sevanju	
simuliranje	69	simuliranja	I jd	simuliranjem	
bivstvo	68	bivstva	I jd	bivstvom	
limitiranje	68	limitiranja	D/L jd	limitiranju	
limitiranje	68	limitiranja	I jd	limitiranjem	
lupkanje	68	lupkanja	D/L jd	lupkanju	
nadziranje	68	nadziranja	I jd	nadziranjem	
odlagalište	68	odlagališta	I jd	odlagalištem	
petljanje	68	petljanja	I jd	petljanjem	
prljanje	68	prljanja	I jd	prljanjem	
srljanje	68	srljanja	I jd	srljanjem	
svetište	68	svetišta	I jd	svetištem	
datiranje	67	datiranja	I jd	datiranjem	
klijanje	67	klijanja	D/L jd	klijanju	
klimanje	67	klimanja	D/L jd	klimanju	
koristoljublje	67	koristoljublja	D/L jd	koristoljublju	
obavezivanje	67	obavezivanja	D/L jd	obavezivanju	
obavezivanje	67	obavezivanja	I jd	obavezivanjem	
obrazlaganje	67	obrazlaganja	D/L jd	obrazlaganju	
obrazlaganje	67	obrazlaganja	I jd	obrazlaganjem	
omekšavanje	67	omekšavanja	I jd	omekšavanjem	
povečerje	67	povečerja	D/L jd	povečerju	
povečerje	67	povečerja	I jd	povečerjem	
siromašenje	67	siromašenja	D/L jd	siromašenju	
siromašenje	67	siromašenja	I jd	siromašenjem	
vaskrsnuće	67	vaskrsnuća	I jd	vaskrsnućem	
gojenje	66	gojenja	I jd	gojenjem	
mešetarenje	66	mešetarenja	D/L jd	mešetarenju	
mešetarenje	66	mešetarenja	I jd	mešetarenjem	
rastezanje	66	rastezanja	D/L jd	rastezanju	
rastezanje	66	rastezanja	I jd	rastezanjem	
zatrpavanje	66	zatrpavanja	D/L jd	zatrpavanju	
zatrpavanje	66	zatrpavanja	I jd	zatrpavanjem	
isijavanje	65	isijavanja	I jd	isijavanjem	
zabijanje	65	zabijanja	D/L jd	zabijanju	
zabijanje	65	zabijanja	I jd	zabijanjem	
zgarište	65	zgarišta	I jd	zgarištem	
šuškanje	65	šuškanja	I jd	šuškanjem	
dirigovanje	64	dirigovanja	I jd	dirigovanjem	
presovanje	64	presovanja	D/L jd	presovanju	
sleganje	64	sleganja	D/L jd	sleganju	
sleganje	64	sleganja	I jd	sleganjem	
suočenje	64	suočenja	I jd	suočenjem	
porečje	63	porečja	I jd	porečjem	
prenemaganje	63	prenemaganja	I jd	prenemaganjem	
tračarenje	63	tračarenja	D/L jd	tračarenju	
tračarenje	63	tračarenja	I jd	tračarenjem	
upuštanje	63	upuštanja	D/L jd	upuštanju	
žongliranje	63	žongliranja	D/L jd	žongliranju	
žongliranje	63	žongliranja	I jd	žongliranjem	
kontaktiranje	62	kontaktiranja	D/L jd	kontaktiranju	
kontaktiranje	62	kontaktiranja	I jd	kontaktiranjem	
neverovanje	62	neverovanja	I jd	neverovanjem	
oplođenje	62	oplođenja	D/L jd	oplođenju	
oplođenje	62	oplođenja	I jd	oplođenjem	
pletivo	62	pletiva	D/L jd	pletivu	
proročište	62	proročišta	I jd	proročištem	
sunašce	62	sunašca	D/L jd	sunašcu	
treptanje	62	treptanja	I jd	treptanjem	
vrbovanje	62	vrbovanja	D/L jd	vrbovanju	
vrbovanje	62	vrbovanja	I jd	vrbovanjem	
iščezavanje	61	iščezavanja	I jd	iščezavanjem	
preletanje	61	preletanja	I jd	preletanjem	
bodrenje	60	bodrenja	D/L jd	bodrenju	
brvno	60	brvna	D/L jd	brvnu	
dvovlašće	60	dvovlašća	D/L jd	dvovlašću	
dvovlašće	60	dvovlašća	I jd	dvovlašćem	
kovilje	60	kovilja	I jd	koviljem	
paperje	60	paperja	D/L jd	paperju	
pisamce	60	pisamca	D/L jd	pisamcu	
pisamce	60	pisamca	I jd	pisamcem	
predosećanje	60	predosećanja	D/L jd	predosećanju	
zaposedanje	60	zaposedanja	D/L jd	zaposedanju	
zaposedanje	60	zaposedanja	I jd	zaposedanjem	
četništvo	60	četništva	I jd	četništvom	
adresiranje	59	adresiranja	I jd	adresiranjem	
drobljenje	59	drobljenja	D/L jd	drobljenju	
drobljenje	59	drobljenja	I jd	drobljenjem	
grananje	59	grananja	D/L jd	grananju	
grananje	59	grananja	I jd	grananjem	
okrepljenje	59	okrepljenja	D/L jd	okrepljenju	
okrepljenje	59	okrepljenja	I jd	okrepljenjem	
previranje	59	previranja	I jd	previranjem	
aranžiranje	58	aranžiranja	I jd	aranžiranjem	
gunđanje	58	gunđanja	I jd	gunđanjem	
ismejavanje	58	ismejavanja	I jd	ismejavanjem	
obrušavanje	58	obrušavanja	D/L jd	obrušavanju	
padobranstvo	58	padobranstva	D/L jd	padobranstvu	
padobranstvo	58	padobranstva	I jd	padobranstvom	
slovce	58	slovca	I jd	slovcem	
svađanje	58	svađanja	D/L jd	svađanju	
useljavanje	58	useljavanja	D/L jd	useljavanju	
zadirkivanje	58	zadirkivanja	D/L jd	zadirkivanju	
zadirkivanje	58	zadirkivanja	I jd	zadirkivanjem	
železo	58	železa	D/L jd	železu	
gnušanje	57	gnušanja	D/L jd	gnušanju	
izobličenje	57	izobličenja	D/L jd	izobličenju	
izobličenje	57	izobličenja	I jd	izobličenjem	
koškanje	57	koškanja	I jd	koškanjem	
remenje	57	remenja	D/L jd	remenju	
remenje	57	remenja	I jd	remenjem	
svinjarstvo	57	svinjarstva	I jd	svinjarstvom	
zavlačenje	57	zavlačenja	D/L jd	zavlačenju	
zavlačenje	57	zavlačenja	I jd	zavlačenjem	
bockanje	56	bockanja	D/L jd	bockanju	
brkanje	56	brkanja	I jd	brkanjem	
čerupanje	56	čerupanja	D/L jd	čerupanju	
čerupanje	56	čerupanja	I jd	čerupanjem	
bivanje	55	bivanja	D/L jd	bivanju	
bivanje	55	bivanja	I jd	bivanjem	
gibanje	55	gibanja	D/L jd	gibanju	
